DisgruntledGoof,2000
incnone,2000
jackofgames,2000
mayantics,2000
mudjoe2,2000
Naymin,2000
PillarMonkey,2000
spootybiscuit,2000
Staekk,2000
AbuYazan,1800
ARTQ,1800
Echaen,1800
Grimy42,1800
gunlovers,1800
heather,1800
moyuma,1800
pancelor,1800
Revalize,1800
roncli,1800
Squega,1800
thedarkfreack,1800
Tufwfo,1800
arboretic,1600
Axem,1600
HordeofTribbles,1600
kingtorture,1600
macnd,1600
mantasMBL,1600
Paratroopa,1600
Progus91,1600
SailorMint,1600
SirWuffles,1600
Tictacfoe,1600
WonderJ13,1600
biggiemac42,1400
boredmai,1400
CheesyPotato,1400
emuemu,1400
flamehaze0,1400
greenyoshi,1400
hypershock,1400
KingCaptain27,1400
Lancer873,1400
missingno,1400
mithrana,1400
Saakas,1400
sillypears,1400
Siveure,1400
Skullgirls,1400
spacecow2455,1400
Teraka,1400
yamiramiz,1400
6000j,1200
alzhang8,1200
chefmayhem,1200
definitely_not_him,1200
ekimekim,1200
gemmi,1200
kakefumi,1200
mastel,1200
Minhs2,1200
morphin3,1200
otherrobert,1200
RatRacing,1200
Resh,1200
Ri,1200
riotblob,1200
The_Crystal_Clod,1200
tome123,1200
ultimatemawile,1200
uutf,1200